dataset,t,strict_relation_flips,strict_relation_flip_rate,accepted_rpp_vs_value_cluster_ari,value_cluster_intact_vs_perturbed_ari,accepted_fraction,value_medoids
GSE27262,0,0,0.0,0.04965589910764274,1.0,1.0,"[18, 7]"
GSE27262,0.25,0,0.0,0.019880261233884904,0.6944660950896336,1.0,"[41, 7]"
GSE27262,0.5,0,0.0,0.019880261233884904,0.6944660950896336,1.0,"[41, 7]"
GSE27262,1,0,0.0,0.019880261233884904,0.6944660950896336,1.0,"[14, 7]"
GSE27262,2,0,0.0,0.0033382551197276874,0.28125,1.0,"[39, 11]"
GSE32863,0,0,0.0,0.5177621224965512,1.0,0.8103448275862069,"[26, 77]"
GSE32863,0.25,0,0.0,-0.017091348472617795,0.006856720080655054,0.8103448275862069,"[46, 54]"
GSE32863,0.5,0,0.0,-0.0055130727249650445,-0.0028696120045436616,0.8103448275862069,"[112, 22]"
GSE32863,1,0,0.0,-0.00564045093920947,0.0025285236116437708,0.8103448275862069,"[51, 11]"
GSE32863,2,0,0.0,0.02865270589848167,0.0,0.8103448275862069,"[5, 113]"
