dataset,dose,replicate,n_disrupted_signature_genes,C_target,D,R,C_lower95_one_sided,C_upper95_one_sided,D_lower95_one_sided,D_upper95_one_sided,decision,specimen_assignment_coverage,participant_assignment_coverage,validation_evaluability,index_participants,comparator_participants
GSE27262,0,0,0,0.8916666666666665,0.5889928698752226,1.4729829210836272,0.8434545454545453,0.9319999999999999,0.4955555555555555,0.6891554621848739,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,0,2,0.7823333333333332,0.4796595365418893,1.292370435806831,0.7196521739130435,0.8430000000000002,0.3769646464646463,0.5871666666666667,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,1,2,0.7313333333333333,0.4286595365418894,1.2081213191990574,0.6697142857142857,0.7919999999999999,0.3262988710635771,0.5374444444444444,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,2,2,0.7579999999999999,0.455326203208556,1.2521731448763247,0.6929090909090909,0.816,0.3511176470588234,0.5632179487179487,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,3,2,0.7761666666666668,0.4734928698752229,1.2821834511189634,0.7182608695652173,0.832,0.3732070707070708,0.5777707509881422,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,4,2,0.7681666666666667,0.46549286987522276,1.268967903415783,0.7029565217391305,0.8298333333333333,0.3585555555555554,0.5727222222222222,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,5,2,0.7943333333333332,0.4916595365418893,1.3121937573616014,0.7276521739130435,0.8556666666666666,0.387540404040404,0.6015539215686275,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,6,2,0.7641666666666667,0.46149286987522276,1.2623601295641929,0.6996666666666667,0.824,0.3567862318840579,0.567141414141414,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,7,2,0.788,0.48532620320855613,1.3017314487632508,0.7350000000000001,0.837,0.38738315217391306,0.5863611111111112,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,8,2,0.758,0.4553262032085561,1.252173144876325,0.6942857142857142,0.8155,0.3516841100076394,0.5605130718954249,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,9,2,0.7618333333333334,0.45915953654188946,1.2585055948174322,0.7,0.824,0.3533325216450215,0.5660000000000001,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,10,2,0.7641666666666667,0.46149286987522276,1.2623601295641929,0.6994545454545453,0.8251666666666667,0.3585712792642141,0.5700555555555555,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,11,2,0.762,0.4593262032085561,1.258780918727915,0.7113333333333334,0.8100869565217391,0.3615245098039215,0.5588898809523808,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,12,2,0.7858333333333334,0.4831595365418895,1.2981522379269728,0.7219130434782609,0.8428333333333334,0.3800795454545456,0.5893030303030301,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,13,2,0.7621666666666667,0.45949286987522275,1.2590562426383978,0.7094545454545453,0.8119999999999999,0.3604841269841271,0.560783422459893,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,14,2,0.7236666666666666,0.42099286987522266,1.1954564193168429,0.6628333333333333,0.7839999999999999,0.31797619047619036,0.5263939393939394,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,15,2,0.7498333333333334,0.44715953654188945,1.2386822732626617,0.6894999999999998,0.8039999999999999,0.3453650793650795,0.551614081996435,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,16,2,0.8108333333333333,0.5081595365418894,1.3394508244994108,0.7572727272727272,0.86,0.410029411764706,0.6111414141414141,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,17,2,0.79,0.48732620320855613,1.3050353356890458,0.7215652173913043,0.8511666666666666,0.38080952380952365,0.59601871657754,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,18,2,0.7985000000000001,0.4958262032085562,1.319076855123675,0.738,0.8556666666666668,0.3925151515151516,0.6014068627450979,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,19,2,0.7741666666666667,0.47149286987522276,1.2788795641931683,0.708,0.8359999999999999,0.3663238636363637,0.5786372549019607,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,0,4,0.5584999999999999,0.255826203208556,0.9226104240282682,0.4837894736842105,0.6359999999999999,0.14501515151515132,0.3709444444444445,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,1,4,0.5503333333333332,0.24765953654188932,0.9091195524146051,0.47733333333333333,0.6196666666666666,0.14194397759103639,0.3627549019607843,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,2,4,0.5894999999999999,0.286826203208556,0.9738206713780916,0.4975,0.672,0.16266666666666674,0.40970535714285716,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,3,4,0.5910000000000001,0.2883262032085562,0.9762985865724381,0.508,0.6759999999999999,0.17340196078431375,0.40742270531400954,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,4,4,0.5793333333333334,0.27665953654188946,0.9570259128386336,0.5,0.66,0.1596111111111112,0.3926176470588234,PASS,1.0,1.0,1.0,24,25
