dataset,dose,n_removed_core_genes,mean_profile_coverages,assigned_fraction,unassigned_reasons,C_target,D,R,C_lower95_one_sided,C_upper95_one_sided,D_lower95_one_sided,D_upper95_one_sided,decision,specimen_assignment_coverage,participant_assignment_coverage,validation_evaluability,index_participants,comparator_participants
GSE27262,0,0,"[1.0, 1.0]",1.0,"{""OK"": 50}",0.8916666666666665,0.5889928698752226,1.4729829210836272,0.8434545454545453,0.9319999999999999,0.4955555555555555,0.6891554621848739,PASS,1.0,1.0,1.0,24,25
GSE27262,0.1,1,"[0.8898851659587856, 0.9043939748692728]",1.0,"{""OK"": 50}",0.8916666666666665,0.5889928698752226,1.4729829210836272,0.8434545454545453,0.9319999999999999,0.4955555555555555,0.6891554621848739,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,3,"[0.28566934088406465, 0.2807305080777333]",0.0,"{""LOW_COVERAGE"": 50}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE27262,0.5,5,"[0.1016202611294635, 0.09552797939592592]",0.0,"{""LOW_COVERAGE"": 50}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE27262,0.75,8,"[0.0, 0.0]",0.0,"{""LOW_COVERAGE"": 50}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE27262,1.0,10,"[0.0, 0.0]",0.0,"{""LOW_COVERAGE"": 50}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE32863,0,0,"[1.0, 1.0]",0.8103448275862069,"{""LOW_SCORE"": 22, ""OK"": 94}",0.6146825396825397,0.3120087428910958,1.0154208031858207,0.5542767295597485,0.6739844683393071,0.20654089918795793,0.42043742509844206,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,1,"[0.8898851659587868, 0.9043939748692753]",0.7844827586206896,"{""LOW_SCORE"": 25, ""OK"": 91}",0.6683189655172415,0.36564516872579755,1.1040251462166442,0.600191570881226,0.7239655172413795,0.2574404761904762,0.47379998163404524,PASS,0.7844827586206896,0.9830508474576272,1.0,16,58
GSE32863,0.25,3,"[0.2856693408840653, 0.2807305080777339]",0.0,"{""LOW_COVERAGE"": 116}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE32863,0.5,5,"[0.10162026112946346, 0.09552797939592612]",0.0,"{""LOW_COVERAGE"": 116}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE32863,0.75,8,"[0.0, 0.0]",0.0,"{""LOW_COVERAGE"": 116}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
GSE32863,1.0,10,"[0.0, 0.0]",0.0,"{""LOW_COVERAGE"": 116}",nan,nan,nan,0.0,0.0,-0.38342245989304813,-0.21036324786324795,INSUFFICIENT_SUPPORT,0.0,0.0,0.0,0,0
