dataset,gsm,participant_id,pair_status,assignment,reason,best_profile_id,best_score,margin,executable_coverage,profile_scores,profile_coverages,validation_score,evaluation_label,forced_profile_id
GSE27262,GSM673870,056,paired,ASSIGNED,OK,P1,1.0,1.0,1.0,"[0.0, 1.0]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673871,056,paired,ASSIGNED,OK,P0,0.7898379738870536,0.5872312463447138,1.0,"[0.7898379738870536, 0.20260672754233974]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673872,064,paired,ASSIGNED,OK,P1,0.79739327245766,0.5872312463447137,1.0,"[0.2101620261129463, 0.79739327245766]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673873,064,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",0.8,tumor,P0
GSE27262,GSM673874,070,paired,ASSIGNED,OK,P1,1.0,1.0,1.0,"[0.0, 1.0]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673875,070,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673876,095,paired,ASSIGNED,OK,P1,0.8938578006711932,0.8029344091343048,1.0,"[0.09092339153688844, 0.8938578006711932]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673877,095,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",0.9,tumor,P0
GSE27262,GSM673878,097,paired,ASSIGNED,OK,P1,0.8039491141809099,0.6224169449186793,1.0,"[0.18153216926223056, 0.8039491141809099]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673879,097,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673880,104,paired,ASSIGNED,OK,P1,0.9100913135097166,0.8194825357843745,1.0,"[0.09060877772534214, 0.9100913135097166]","[1.0, 1.0]",0.2,adjacent_normal,P1
GSE27262,GSM673881,104,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673882,107,paired,ASSIGNED,OK,P1,0.8938578006711932,0.8029344091343048,1.0,"[0.09092339153688844, 0.8938578006711932]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673883,107,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673884,122,paired,ASSIGNED,OK,P1,0.8938578006711932,0.8029344091343048,1.0,"[0.09092339153688844, 0.8938578006711932]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673885,122,paired,ASSIGNED,OK,P0,0.698914582350165,0.39016565547901855,1.0,"[0.698914582350165, 0.30874892687114647]","[1.0, 1.0]",0.8,tumor,P0
