gsm,participant_id,assignment,best_profile_id,best_score,margin,executable_coverage,validation_score
GSM494575,115,ASSIGNED,P0,0.9065596979707408,0.8112658557792165,1.0,0.8
GSM494635,115,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494581,121,ASSIGNED,P0,0.8980651250589899,0.7856792669461358,1.0,0.7
GSM494641,121,ASSIGNED,P1,0.8938578006711932,0.8029344091343048,1.0,0.0
GSM494560,32,ASSIGNED,P0,0.7879502910177756,0.5799584077741948,1.0,0.9
GSM494620,32,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494607,156,ASSIGNED,P0,0.9093912222746579,0.8194825357843746,1.0,0.2
GSM494667,156,ASSIGNED,P1,0.8938578006711932,0.8029344091343048,1.0,0.0
GSM494579,119,ASSIGNED,P0,0.8156363064338523,0.6142002649135214,1.0,1.0
GSM494639,119,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494615,189,ASSIGNED,P1,0.9043939748692733,0.794279140828059,1.0,0.7
GSM494675,189,ASSIGNED,P0,0.9093912222746579,0.8194825357843746,1.0,0.4
GSM494557,3,ASSIGNED,P1,0.81448528837899,0.6137616766124335,1.0,0.8
GSM494617,3,ASSIGNED,P1,1.0,1.0,1.0,0.1
GSM494559,17,ASSIGNED,P0,0.697026899480887,0.3828928169084997,1.0,1.0
GSM494619,17,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494562,37,ASSIGNED,P0,0.9093912222746579,0.8194825357843746,1.0,0.9
GSM494622,37,ASSIGNED,P1,1.0,1.0,1.0,0.1
GSM494592,133,UNASSIGNED,P1,0.584094279247639,,1.0,0.5
GSM494652,133,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494570,102,ASSIGNED,P1,0.9100913135097166,0.8194825357843745,1.0,1.0
GSM494630,102,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494584,124,UNASSIGNED,P0,0.5777882649048292,,1.0,0.5
GSM494644,124,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494569,97,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494629,97,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494594,135,UNASSIGNED,P0,0.5129778197262859,,1.0,0.5
GSM494654,135,ASSIGNED,P1,0.9100913135097166,0.8194825357843745,1.0,0.1
GSM494597,139,ASSIGNED,P0,1.0,1.0,1.0,0.7
GSM494657,139,ASSIGNED,P0,0.9090766084631114,0.8029344091343048,1.0,0.6
GSM494568,94,ASSIGNED,P1,0.9100913135097166,0.8194825357843745,1.0,0.4
GSM494628,94,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494599,143,ASSIGNED,P0,0.6083058046248229,0.20964819126339312,1.0,0.8
GSM494659,143,ASSIGNED,P1,1.0,1.0,1.0,0.0
GSM494563,40,ASSIGNED,P0,0.6262387918829636,0.24475124017766436,1.0,0.7
GSM494623,40,ASSIGNED,P1,0.9100913135097166,0.8194825357843745,1.0,0.1
