feature_a,feature_b,direction,index_support,observed_contrast,bootstrap_positive_fraction,bootstrap_median_contrast
177,9245,<,1.0,0.9166666666666666,1.0,0.9166666666666666
55273,130367,<,1.0,0.9166666666666666,1.0,0.9166666666666666
90161,177,>,1.0,0.9166666666666666,1.0,0.9166666666666666
130367,51751,>,1.0,0.875,1.0,0.875
3579,9245,<,1.0,0.875,1.0,0.875
90161,10203,>,1.0,0.875,1.0,0.875
6696,10203,>,1.0,0.8333333333333334,1.0,0.8333333333333334
6696,10894,>,1.0,0.8333333333333334,1.0,0.8333333333333334
4246,361,>,0.8571428571428571,0.8154761904761905,1.0,0.8333333333333334
4246,83657,>,0.8571428571428571,0.7738095238095237,1.0,0.7916666666666667
